[四  3月 14 13:46:29 2024] systemd-hostnamed[3076]: Warning: nss-myhostname is not installed. Changing the local hostname might make it unresolveable. Please install nss-myhostname!
[四  3月 14 13:49:07 2024] LOADING MODULE
[四  3月 14 13:49:07 2024] PID: 1, UID: 0, PROCESS: init
[四  3月 14 13:49:07 2024] PID: 1955, UID: 1000, PROCESS: VBoxClient
[四  3月 14 13:49:07 2024] PID: 1956, UID: 1000, PROCESS: VBoxClient
[四  3月 14 13:49:07 2024] PID: 1970, UID: 1000, PROCESS: VBoxClient
[四  3月 14 13:49:07 2024] PID: 1971, UID: 1000, PROCESS: VBoxClient
[四  3月 14 13:49:07 2024] PID: 1978, UID: 1000, PROCESS: VBoxClient
[四  3月 14 13:49:07 2024] PID: 1979, UID: 1000, PROCESS: VBoxClient
[四  3月 14 13:49:07 2024] PID: 1993, UID: 1000, PROCESS: VBoxClient
[四  3月 14 13:49:07 2024] PID: 1995, UID: 1000, PROCESS: VBoxClient
[四  3月 14 13:49:07 2024] PID: 2014, UID: 1000, PROCESS: ssh-agent
[四  3月 14 13:49:07 2024] PID: 2016, UID: 1000, PROCESS: dbus-daemon
[四  3月 14 13:49:07 2024] PID: 2025, UID: 1000, PROCESS: upstart-event-b
[四  3月 14 13:49:07 2024] PID: 2028, UID: 1000, PROCESS: window-stack-br
[四  3月 14 13:49:07 2024] PID: 2048, UID: 1000, PROCESS: upstart-dbus-br
[四  3月 14 13:49:07 2024] PID: 2050, UID: 1000, PROCESS: ibus-daemon
[四  3月 14 13:49:07 2024] PID: 2056, UID: 1000, PROCESS: upstart-dbus-br
[四  3月 14 13:49:07 2024] PID: 2064, UID: 1000, PROCESS: upstart-file-br
[四  3月 14 13:49:07 2024] PID: 2069, UID: 1000, PROCESS: unity-settings-
[四  3月 14 13:49:07 2024] PID: 2073, UID: 1000, PROCESS: gvfsd
[四  3月 14 13:49:07 2024] PID: 2077, UID: 1000, PROCESS: bamfdaemon
[四  3月 14 13:49:07 2024] PID: 2079, UID: 1000, PROCESS: hud-service
[四  3月 14 13:49:07 2024] PID: 2083, UID: 1000, PROCESS: at-spi-bus-laun
[四  3月 14 13:49:07 2024] PID: 2085, UID: 1000, PROCESS: gvfsd-fuse
[四  3月 14 13:49:07 2024] PID: 2092, UID: 1000, PROCESS: gnome-session
[四  3月 14 13:49:07 2024] PID: 2098, UID: 1000, PROCESS: unity-panel-ser
[四  3月 14 13:49:07 2024] PID: 2104, UID: 1000, PROCESS: dbus-daemon
[四  3月 14 13:49:07 2024] PID: 2111, UID: 1000, PROCESS: ibus-dconf
[四  3月 14 13:49:07 2024] PID: 2113, UID: 1000, PROCESS: ibus-ui-gtk3
[四  3月 14 13:49:07 2024] PID: 2118, UID: 1000, PROCESS: ibus-x11
[四  3月 14 13:49:07 2024] PID: 2139, UID: 1000, PROCESS: at-spi2-registr
[四  3月 14 13:49:07 2024] PID: 2149, UID: 1000, PROCESS: indicator-keybo
[四  3月 14 13:49:07 2024] PID: 2155, UID: 1000, PROCESS: ibus-engine-sim
[四  3月 14 13:49:07 2024] PID: 2156, UID: 1000, PROCESS: indicator-messa
[四  3月 14 13:49:07 2024] PID: 2158, UID: 1000, PROCESS: indicator-bluet
[四  3月 14 13:49:07 2024] PID: 2171, UID: 1000, PROCESS: indicator-power
[四  3月 14 13:49:07 2024] PID: 2183, UID: 1000, PROCESS: indicator-datet
[四  3月 14 13:49:07 2024] PID: 2187, UID: 1000, PROCESS: indicator-sound
[四  3月 14 13:49:07 2024] PID: 2194, UID: 1000, PROCESS: indicator-print
[四  3月 14 13:49:07 2024] PID: 2205, UID: 1000, PROCESS: indicator-sessi
[四  3月 14 13:49:07 2024] PID: 2206, UID: 1000, PROCESS: evolution-sourc
[四  3月 14 13:49:07 2024] PID: 2218, UID: 1000, PROCESS: indicator-appli
[四  3月 14 13:49:07 2024] PID: 2245, UID: 1000, PROCESS: pulseaudio
[四  3月 14 13:49:07 2024] PID: 2272, UID: 1000, PROCESS: notify-osd
[四  3月 14 13:49:07 2024] PID: 2290, UID: 1000, PROCESS: dconf-service
[四  3月 14 13:49:07 2024] PID: 2312, UID: 1000, PROCESS: compiz
[四  3月 14 13:49:07 2024] PID: 2322, UID: 1000, PROCESS: evolution-calen
[四  3月 14 13:49:07 2024] PID: 2353, UID: 1000, PROCESS: nautilus
[四  3月 14 13:49:07 2024] PID: 2356, UID: 0, PROCESS: kworker/5:1H
[四  3月 14 13:49:07 2024] PID: 2357, UID: 1000, PROCESS: unity-fallback-
[四  3月 14 13:49:07 2024] PID: 2376, UID: 1000, PROCESS: polkit-gnome-au
[四  3月 14 13:49:07 2024] PID: 2386, UID: 1000, PROCESS: nm-applet
[四  3月 14 13:49:07 2024] PID: 2419, UID: 1000, PROCESS: gvfs-udisks2-vo
[四  3月 14 13:49:07 2024] PID: 2423, UID: 0, PROCESS: udisksd
[四  3月 14 13:49:07 2024] PID: 2441, UID: 1000, PROCESS: gconfd-2
[四  3月 14 13:49:07 2024] PID: 2450, UID: 1000, PROCESS: gvfs-gphoto2-vo
[四  3月 14 13:49:07 2024] PID: 2454, UID: 1000, PROCESS: gvfs-afc-volume
[四  3月 14 13:49:07 2024] PID: 2459, UID: 1000, PROCESS: gvfs-mtp-volume
[四  3月 14 13:49:07 2024] PID: 2473, UID: 1000, PROCESS: gvfsd-trash
[四  3月 14 13:49:07 2024] PID: 2489, UID: 1000, PROCESS: gvfsd-burn
[四  3月 14 13:49:07 2024] PID: 2504, UID: 0, PROCESS: cupsd
[四  3月 14 13:49:07 2024] PID: 2508, UID: 7, PROCESS: dbus
[四  3月 14 13:49:07 2024] PID: 2598, UID: 1000, PROCESS: telepathy-indic
[四  3月 14 13:49:07 2024] PID: 2606, UID: 1000, PROCESS: mission-control
[四  3月 14 13:49:07 2024] PID: 2855, UID: 1000, PROCESS: zeitgeist-datah
[四  3月 14 13:49:07 2024] PID: 2860, UID: 1000, PROCESS: zeitgeist-daemo
[四  3月 14 13:49:07 2024] PID: 2866, UID: 1000, PROCESS: zeitgeist-fts
[四  3月 14 13:49:07 2024] PID: 2890, UID: 1000, PROCESS: cat
[四  3月 14 13:49:07 2024] PID: 2951, UID: 0, PROCESS: kworker/6:2
[四  3月 14 13:49:07 2024] PID: 2974, UID: 1000, PROCESS: update-notifier
[四  3月 14 13:49:07 2024] PID: 2983, UID: 1000, PROCESS: deja-dup-monito
[四  3月 14 13:49:07 2024] PID: 3002, UID: 0, PROCESS: sh
[四  3月 14 13:49:07 2024] PID: 3003, UID: 0, PROCESS: run-parts
[四  3月 14 13:49:07 2024] PID: 3012, UID: 0, PROCESS: apt
[四  3月 14 13:49:07 2024] PID: 3047, UID: 0, PROCESS: sleep
[四  3月 14 13:49:07 2024] PID: 3048, UID: 0, PROCESS: kworker/4:1H
[四  3月 14 13:49:07 2024] PID: 3062, UID: 0, PROCESS: kworker/u16:2
[四  3月 14 13:49:07 2024] PID: 3076, UID: 0, PROCESS: systemd-hostnam
[四  3月 14 13:49:07 2024] PID: 3089, UID: 1000, PROCESS: gvfsd-metadata
[四  3月 14 13:49:07 2024] PID: 3150, UID: 1000, PROCESS: gnome-terminal
[四  3月 14 13:49:07 2024] PID: 3158, UID: 1000, PROCESS: gnome-pty-helpe
[四  3月 14 13:49:07 2024] PID: 3159, UID: 1000, PROCESS: bash
[四  3月 14 13:49:07 2024] PID: 3209, UID: 1000, PROCESS: su
[四  3月 14 13:49:07 2024] PID: 3210, UID: 0, PROCESS: bash
[四  3月 14 13:49:07 2024] PID: 3220, UID: 0, PROCESS: insmod
[四  3月 14 13:49:07 2024] PID: 3221, UID: 0, PROCESS: systemd-udevd
[四  3月 14 13:49:23 2024] REMOVING MODULE
